date,city,precipitation,sunshine,templature
1921-07-01,Tokyo,209,201.1,24.3
1921-08-01,Tokyo,154.7,211,25.3
1921-09-01,Tokyo,448.8,118.4,21.3
1921-10-01,Tokyo,306.4,138.9,15.4
1921-11-01,Tokyo,4.6,232.2,9.3
1921-12-01,Tokyo,47,185.5,5
1922-01-01,Tokyo,60.5,194.1,0.6
1922-02-01,Tokyo,226.9,157.6,7
1922-03-01,Tokyo,104.7,236.7,6.6
1922-04-01,Tokyo,180.1,209,13.3
1922-05-01,Tokyo,96.7,186.9,16.8
1922-06-01,Tokyo,139.9,230.8,21.7
1922-07-01,Tokyo,115.3,177.4,25
1922-08-01,Tokyo,199.3,263.6,27.3
1922-09-01,Tokyo,45.1,185,23.4
1922-10-01,Tokyo,168.9,197.7,16.8
1922-11-01,Tokyo,63.6,159.9,10.8
1922-12-01,Tokyo,10.2,224.4,4
1923-01-01,Tokyo,64.2,183.7,1.7
1923-02-01,Tokyo,119.8,118.5,3
1923-03-01,Tokyo,107.5,189.2,7.9
1923-04-01,Tokyo,116.1,155.1,12
1923-05-01,Tokyo,192.4,127.5,16.8
1923-06-01,Tokyo,280.9,121,20.4
1923-07-01,Tokyo,168.2,139,24
1923-08-01,Tokyo,42.2,232.3,27.2
1923-09-01,Tokyo,259.4,133.2,23.4
1923-10-01,Tokyo,164,147.2,16.8
1923-11-01,Tokyo,138.1,150.9,12
1923-12-01,Tokyo,44.6,156.1,5.6
1924-01-01,Tokyo,8.7,201.6,2.7
1924-02-01,Tokyo,68.4,177.7,4.5
1924-03-01,Tokyo,64.2,220,5
1924-04-01,Tokyo,170.8,165.1,14.7
1924-05-01,Tokyo,168.3,212.6,16.9
1924-06-01,Tokyo,114.2,125.9,19.4
1924-07-01,Tokyo,12.9,258.6,26.1
1924-08-01,Tokyo,185.9,213.4,26.2
1924-09-01,Tokyo,363.2,140.1,21.8
1924-10-01,Tokyo,260.8,127.1,15.4
1924-11-01,Tokyo,28.4,201.8,9.9
1924-12-01,Tokyo,29.5,165.5,5.2
1925-01-01,Tokyo,43.1,184.1,2.9
1925-02-01,Tokyo,53.5,157.9,2.4
1925-03-01,Tokyo,33,229.2,6.2
1925-04-01,Tokyo,131.6,167.3,11.9
1925-05-01,Tokyo,109,180.9,16.1
1925-06-01,Tokyo,105.3,143.7,20.1
